r_l	V(vin)	V(vo)	I(RL1)	I(VIN)
1.330454417978096e-03	9.500000e+00	1.996231e-03	1.500413e+00	-1.501473e+00
1.336595516546447e-03	9.500000e+00	2.005446e-03	1.500413e+00	-1.501473e+00
1.342764961137869e-03	9.500000e+00	2.014702e-03	1.500413e+00	-1.501473e+00
1.348962882591659e-03	9.500000e+00	2.024002e-03	1.500413e+00	-1.501473e+00
1.355189412351041e-03	9.500000e+00	2.033344e-03	1.500413e+00	-1.501473e+00
1.361444682465956e-03	9.500000e+00	2.042729e-03	1.500413e+00	-1.501473e+00
1.367728825595855e-03	9.500000e+00	2.052158e-03	1.500413e+00	-1.501473e+00
1.374041975012521e-03	9.500000e+00	2.061631e-03	1.500413e+00	-1.501473e+00
1.380384264602891e-03	9.500000e+00	2.071147e-03	1.500413e+00	-1.501473e+00
1.386755828871895e-03	9.500000e+00	2.080707e-03	1.500413e+00	-1.501473e+00
1.393156802945309e-03	9.500000e+00	2.090311e-03	1.500413e+00	-1.501473e+00
1.399587322572624e-03	9.500000e+00	2.099959e-03	1.500413e+00	-1.501473e+00
1.406047524129920e-03	9.500000e+00	2.109652e-03	1.500413e+00	-1.501473e+00
1.412537544622761e-03	9.500000e+00	2.119390e-03	1.500413e+00	-1.501473e+00
1.419057521689099e-03	9.500000e+00	2.129172e-03	1.500413e+00	-1.501473e+00
1.425607593602195e-03	9.500000e+00	2.139000e-03	1.500413e+00	-1.501473e+00
1.432187899273551e-03	9.500000e+00	2.148873e-03	1.500413e+00	-1.501473e+00
1.438798578255852e-03	9.500000e+00	2.158792e-03	1.500413e+00	-1.501473e+00
1.445439770745934e-03	9.500000e+00	2.168756e-03	1.500413e+00	-1.501473e+00
1.452111617587750e-03	9.500000e+00	2.178767e-03	1.500413e+00	-1.501473e+00
1.458814260275356e-03	9.500000e+00	2.188824e-03	1.500413e+00	-1.501473e+00
1.465547840955919e-03	9.500000e+00	2.198927e-03	1.500413e+00	-1.501473e+00
1.472312502432726e-03	9.500000e+00	2.209076e-03	1.500413e+00	-1.501473e+00
1.479108388168215e-03	9.500000e+00	2.219273e-03	1.500413e+00	-1.501473e+00
