Record Length,700
Source,CH1,CH2
No.,Volt,Volt
136,14.400000,0.000000
137,12.000000,-0.200000
138,8.800000,-0.400000
139,3.600000,-0.400000
140,-0.600000,-0.600000
141,-2.800000,-0.600000
142,-4.400000,-0.400000
143,-4.600000,-0.400000
144,-4.600000,-0.200000
145,-4.600000,-0.200000
146,-4.800000,0.400000
147,-4.800000,2.000000
148,-4.600000,3.000000
149,-4.600000,4.000000
150,-4.400000,5.000000
151,-4.200000,5.600000
152,-4.200000,6.400000
153,-4.200000,6.800000
154,-4.200000,7.400000
155,-4.200000,7.600000
156,-4.200000,8.000000
157,-4.200000,5.600000
158,-4.200000,3.800000
159,-4.200000,2.200000
160,-4.600000,1.200000
161,-4.600000,0.800000
162,-4.600000,0.400000
163,-4.600000,0.200000
164,-4.600000,0.200000
165,-4.600000,0.000000
166,-4.600000,0.000000
167,-4.600000,0.000000
168,-4.600000,0.000000
169,-4.600000,0.000000
170,-4.600000,0.000000
171,-4.600000,0.000000
172,-4.400000,-0.200000
173,-1.400000,-0.200000
174,1.200000,0.000000
175,9.800000,0.200000
176,12.400000,0.200000
177,14.000000,0.200000
178,15.200000,0.000000
179,16.400000,0.200000
180,17.000000,0.000000
181,17.400000,0.000000
182,17.799999,0.000000
183,18.000000,0.000000
184,18.200001,0.000000
185,18.400000,0.000000
186,18.400000,-0.200000
187,18.600000,-0.400000
188,18.799999,0.000000
189,18.799999,0.000000
190,18.799999,0.000000
191,18.799999,0.000000
192,19.000000,0.000000
193,19.000000,0.000000
194,18.799999,0.000000
195,18.799999,0.000000
196,19.000000,0.000000
197,19.000000,0.000000
198,19.000000,0.000000
199,19.000000,-0.200000
200,19.000000,0.000000
201,19.000000,-0.200000
202,19.200001,0.000000
203,19.200001,0.000000
204,19.200001,-0.200000
205,19.200001,-0.200000
206,19.000000,-0.200000
207,19.000000,-0.200000
208,19.000000,0.000000
209,19.200001,-0.200000
210,19.200001,-0.200000
211,19.000000,0.000000
212,19.000000,-0.200000
213,19.200001,-0.200000
214,19.000000,0.000000
215,19.000000,0.000000
216,19.000000,0.000000
217,19.000000,-0.200000
218,19.000000,0.000000
219,19.000000,0.000000
220,19.200001,-0.200000
221,19.200001,0.000000
222,19.200001,0.000000
223,19.200001,0.000000
224,19.200001,0.000000
225,19.000000,-0.200000
226,19.200001,0.000000
227,19.200001,-0.200000
228,19.200001,0.000000
229,19.200001,-0.200000
230,19.000000,0.000000
231,19.000000,-0.200000
232,19.200001,0.000000
233,19.000000,-0.200000
234,19.200001,-0.400000
235,19.000000,-0.200000
236,19.200001,0.000000
237,19.200001,0.000000
238,19.200001,-0.200000
239,19.200001,0.000000
240,19.200001,0.000000
241,19.200001,0.000000
242,19.200001,-0.200000
243,19.000000,-0.200000
244,19.000000,-0.200000
245,19.000000,0.000000
246,19.000000,0.000000
247,19.000000,0.000000
248,19.000000,0.000000
249,19.000000,-0.200000
250,19.000000,0.000000
251,19.000000,0.000000
252,19.000000,-0.200000
253,19.000000,0.000000
254,19.000000,0.000000
255,19.000000,0.000000
256,19.000000,0.000000
257,19.200001,-0.200000
258,19.200001,-0.200000
259,19.200001,-0.200000
260,19.200001,-0.200000
261,19.000000,0.000000
262,19.000000,-0.200000
263,19.000000,0.000000
264,19.200001,0.000000
265,19.200001,0.000000
266,19.200001,0.000000
267,19.000000,0.000000
268,19.200001,-0.200000
269,19.000000,-0.200000
270,19.000000,-0.200000
271,19.000000,-0.200000
272,19.000000,-0.200000
273,19.000000,0.000000
274,19.000000,-0.200000
275,19.200001,0.000000
276,19.000000,0.000000
277,19.000000,-0.200000
278,19.000000,0.000000
279,19.000000,-0.200000
280,19.200001,0.000000
281,19.200001,0.000000
282,19.200001,0.000000
