frecuencia,mod_comp_corriente,fase_comp_corriente,mod_comp_tension,fase_comp_tension,mod_sin_comp_corriente,fase_sin_comp_corriente,mod_sin_comp_tension,fase_sin_comp_tension
1.0,19.9778655960818,-0.00359082085636643,47.6978886067672,179.648925671748,19.9778655960849,-0.00359086025740433,47.6980542555786,-179.999187244065
1.0471285480509,19.9778655944356,-0.00376006142601622,47.6978726201629,179.632164973213,19.9778655944391,-0.0037601026839693,47.6980542514416,-179.99936447
1.09647819614319,19.9778655926307,-0.00393727758997878,47.6978550918051,179.614624135079,19.9778655926344,-0.00393732079236095,47.6980542475979,-179.999540347892
1.14815362149688,19.9778655906514,-0.00412284524748398,47.6978358734504,179.596265963861,19.9778655906557,-0.00412289048593366,47.6980542440694,-179.999715250799
1.20226443461741,19.9778655884814,-0.00431715801239729,47.6978148014674,179.577051534374,19.977865588486,-0.00431720538287163,47.6980542408278,-179.999889549715
1.25892541179417,19.9778655861019,-0.00452062804812704,47.6977916972274,179.556940107373,19.977865586107,-0.00452067765110561,47.6980542378459,179.999936385649
1.31825673855641,19.9778655834929,-0.00473368694187808,47.6977663646857,179.535889043507,19.9778655834985,-0.00473373888257594,47.698054235099,179.999762186079
1.38038426460289,19.9778655806322,-0.0049567866201057,47.6977385888394,179.513853713249,19.9778655806383,-0.00495684100869657,47.6980542325042,179.999587482073
1.44543977074593,19.9778655774955,-0.00519040030711166,47.6977081336928,179.490787402675,19.9778655775022,-0.00519045725896171,47.6980542301544,179.999411903062
1.51356124843621,19.9778655740561,-0.00543502352881602,47.6976747408432,179.46664121484,19.9778655740635,-0.0054350831647285,47.6980542279185,179.999235076619
1.58489319246111,19.9778655702851,-0.0056911751638334,47.6976381270651,179.441363966638,19.977865570293,-0.00569123761030488,47.6980542258887,179.99905662767
1.65958690743756,19.97786556615,-0.00595939854408324,47.6975979815916,179.414902080915,19.9778655661588,-0.00595946393357209,47.6980542239347,179.998876177702
1.73780082874938,19.9778655616161,-0.00624026260726916,47.6975539636648,179.387199473561,19.9778655616257,-0.00624033107847638,47.6980542221569,179.998693343957
1.81970085860999,19.9778655566447,-0.006534363103671,47.6975056998304,179.358197435397,19.9778655566553,-0.00653443480183449,47.698054220422,179.998507738619
1.90546071796325,19.9778655511938,-0.00684232385981006,47.6974527802343,179.327834508674,19.9778655512053,-0.0068423989370127,47.698054218833,179.998318967995
1.99526231496888,19.9778655452168,-0.00716479810166749,47.6973947562494,179.296046357766,19.9778655452296,-0.00716487671715985,47.6980542173196,179.998126631676
2.08929613085404,19.9778655386634,-0.00750246984026312,47.6973311352679,179.262765634113,19.9778655386773,-0.00750255216080108,47.6980542158669,179.997930321692
2.18776162394956,19.9778655314776,-0.00785605532253252,47.6972613773027,179.227921834811,19.9778655314928,-0.00785614152273124,47.6980542144048,179.997729621643
2.29086765276778,19.9778655235985,-0.00822630455058131,47.6971848908463,179.191441154738,19.9778655236152,-0.00822639481328555,47.6980542130385,179.997524105817
2.39883291901949,19.9778655149593,-0.00861400287253796,47.6971010267977,179.153246332071,19.9778655149776,-0.00861409738921004,47.6980542116404,179.997313338287
2.51188643150958,19.9778655054866,-0.00901997264838029,47.6970090737513,179.113256486597,19.9778655055067,-0.00902007161950609,47.6980542101995,179.997096871988
2.63026799189539,19.9778654950999,-0.00944507499426816,47.6969082514401,179.071386950808,19.977865495122,-0.00944517862978263,47.6980542088184,179.996874247765
2.75422870333817,19.9778654837113,-0.00989021160908353,47.6967977048634,179.027549093219,19.9778654837354,-0.00989032012881591,47.69805420743,179.996644993403
2.88403150312661,19.9778654712237,-0.0103563266870506,47.6966764964639,178.981650133848,19.9778654712503,-0.0103564403211911,47.6980542059631,179.996408622622
3.01995172040202,19.9778654575315,-0.0108444089204951,47.696543597801,178.93359295141,19.9778654575606,-0.0108445279100827,47.6980542046965,179.996164634047
3.16227766016839,19.9778654425183,-0.0113554935969873,47.6963978822692,178.883275881646,19.9778654425501,-0.0113556181944217,47.698054203099,179.995912510148
3.31131121482592,19.9778654260565,-0.0118906647953214,47.6962381139931,178.830592507055,19.9778654260915,-0.0118907952648983,47.6980542015035,179.995651716134
3.46736850452532,19.9778654080067,-0.0124510576849853,47.6960629385888,178.775431436966,19.977865408045,-0.012451194303457,47.6980541998998,179.995381698828
3.63078054770102,19.9778653882154,-0.0130378609339997,47.6958708704797,178.717676078255,19.9778653882574,-0.0130380039911626,47.698054198158,179.995101885486
3.80189396320562,19.9778653665146,-0.0136523192302348,47.6956602820445,178.657204395634,19.9778653665607,-0.0136524690295442,47.6980541963216,179.994811682586
3.98107170553498,19.9778653427202,-0.0142957359215506,47.6954293881397,178.593888662041,19.9778653427707,-0.0142958927807644,47.6980541943755,179.994510474569
4.16869383470336,19.9778653166302,-0.0149694757803609,47.6951762320033,178.527595197898,19.9778653166856,-0.014969640032214,47.6980541922484,179.994197622533
4.36515832240167,19.977865288023,-0.0156749678984868,47.6948986690378,178.458184099352,19.9778652880838,-0.0156751398913974,47.6980541900926,179.993872462876
4.57088189614876,19.977865256656,-0.0164137087184377,47.6945943475597,178.385508955313,19.9778652567225,-0.0164138888172461,47.6980541876667,179.993534305892
4.7863009232264,19.9778652222626,-0.0171872652075493,47.6942606903204,178.309416552271,19.9778652223356,-0.0171874537942929,47.698054185002,179.993182434303
5.01187233627274,19.977865184551,-0.0179972781817136,47.6938948720266,178.229746567349,19.9778651846311,-0.0179974756564372,47.6980541821991,179.992816101744
