time	V(t)
0.000000000000000e+00	5.010018e+00
1.000000000000133e-06	5.010018e+00
1.000000100000002e-06	5.010018e+00
1.000000299999741e-06	5.010018e+00
1.000000700000087e-06	5.010018e+00
1.000001000000562e-06	5.010018e+00
1.000001061656972e-06	5.010018e+00
1.000001184969790e-06	5.010018e+00
1.000001431594559e-06	5.010018e+00
1.000001843221889e-06	5.010018e+00
1.000002276499434e-06	5.010018e+00
1.000003143054526e-06	5.010018e+00
1.000004028443510e-06	5.010018e+00
1.000005459617266e-06	5.010018e+00
1.000007022289133e-06	5.010018e+00
1.000009762245832e-06	5.010018e+00
1.000012721520151e-06	5.010018e+00
1.000016926196688e-06	5.010018e+00
1.000021376230779e-06	5.010018e+00
1.000028661685137e-06	5.010018e+00
1.000034609147278e-06	5.010018e+00
1.000041865494711e-06	5.010018e+00
1.000049907098552e-06	5.010018e+00
1.000060333741608e-06	5.010018e+00
1.000073456347908e-06	5.010018e+00
1.000093510359311e-06	5.010018e+00
1.000126710729715e-06	5.010018e+00
1.000193111469656e-06	5.010018e+00
1.000299976776191e-06	5.010018e+00
1.000434483878695e-06	5.010018e+00
1.000634114424297e-06	5.010018e+00
1.000985911557388e-06	5.010018e+00
1.001689505823571e-06	5.010018e+00
1.003096694355068e-06	5.010018e+00
1.005911071418064e-06	5.010018e+00
1.011539825544923e-06	5.010020e+00
1.019755427197032e-06	5.010023e+00
1.030975241539389e-06	5.010031e+00
1.047739488811879e-06	5.010048e+00
1.070889656740355e-06	5.010080e+00
1.098797249714754e-06	5.010127e+00
1.127702741142260e-06	5.010182e+00
1.168619988597096e-06	5.010269e+00
1.242655068894351e-06	5.010447e+00
1.342655068894624e-06	5.010714e+00
1.442655068894898e-06	5.011004e+00
1.542655068895171e-06	5.011315e+00
1.642655068895445e-06	5.011641e+00
1.742655068895718e-06	5.011979e+00
1.842655068895992e-06	5.012329e+00
1.942655068896265e-06	5.012690e+00
2.042655068896539e-06	5.013060e+00
2.242655068897086e-06	5.013826e+00
2.542655068897906e-06	5.015041e+00
3.085512211756534e-06	5.017442e+00
3.628369354615161e-06	5.020063e+00
4.171226497473789e-06	5.022904e+00
4.714083640332417e-06	5.025966e+00
5.256940783191044e-06	5.029248e+00
5.799797926049672e-06	5.032751e+00
6.342655068908298e-06	5.036474e+00
6.842655068909666e-06	5.040080e+00
7.342655068911033e-06	5.043838e+00
7.842655068912401e-06	5.047748e+00
8.342655068913768e-06	5.051809e+00
8.842655068915135e-06	5.056021e+00
9.342655068916504e-06	5.060385e+00
9.842655068917870e-06	5.064901e+00
1.037122649749075e-05	5.069825e+00
1.089979792606362e-05	5.074866e+00
1.142836935463649e-05	5.080023e+00
1.195694078320937e-05	5.085298e+00
1.248551221178224e-05	5.090689e+00
1.301408364035512e-05	5.096197e+00
1.354265506892799e-05	5.101822e+00
1.435694078321593e-05	5.110730e+00
1.517122649750387e-05	5.119669e+00
1.598551221179181e-05	5.128640e+00
1.679979792607976e-05	5.137643e+00
1.761408364036770e-05	5.146677e+00
1.842836935465564e-05	5.155743e+00
1.924265506894358e-05	5.164841e+00
1.964265506894467e-05	5.169212e+00
2.004265506894577e-05	5.173528e+00
2.044265506894686e-05	5.177790e+00
2.084265506894795e-05	5.181998e+00
2.124265506894905e-05	5.186152e+00
2.164265506895014e-05	5.190252e+00
2.204265506895123e-05	5.194297e+00
2.224265506895178e-05	5.196288e+00
2.244265506895233e-05	5.198260e+00
2.264265506895288e-05	5.200212e+00
2.284265506895342e-05	5.202145e+00
2.304265506895397e-05	5.204058e+00
2.324265506895452e-05	5.205952e+00
2.344265506895506e-05	5.207827e+00
2.354265506895534e-05	5.208755e+00
2.364265506895561e-05	5.209679e+00
2.384265506895616e-05	5.211510e+00
2.414265506895698e-05	5.214215e+00
2.504265506895944e-05	5.222056e+00
2.594265506896190e-05	5.229385e+00
2.684265506896436e-05	5.236201e+00
2.774265506896682e-05	5.242504e+00
2.864265506896928e-05	5.248295e+00
2.954265506897175e-05	5.253573e+00
3.044265506897421e-05	5.258338e+00
3.131408364040516e-05	5.262410e+00
3.218551221183611e-05	5.266014e+00
3.305694078326708e-05	5.269149e+00
3.392836935469803e-05	5.271815e+00
3.479979792612898e-05	5.274012e+00
3.567122649755994e-05	5.275740e+00
3.654265506899089e-05	5.277000e+00
3.687122649756322e-05	5.277370e+00
3.719979792613555e-05	5.277682e+00
3.752836935470787e-05	5.277936e+00
3.785694078328020e-05	5.278131e+00
3.818551221185252e-05	5.278268e+00
3.851408364042485e-05	5.278346e+00
3.884265506899718e-05	5.278366e+00
3.904265506899773e-05	5.278352e+00
3.971408364042813e-05	5.278138e+00
4.038551221185854e-05	5.277722e+00
4.105694078328895e-05	5.277105e+00
4.172836935471936e-05	5.276287e+00
4.239979792614977e-05	5.275268e+00
4.307122649758017e-05	5.274047e+00
4.374265506901058e-05	5.272625e+00
4.498551221187112e-05	5.269422e+00
4.622836935473167e-05	5.265865e+00
4.747122649759221e-05	5.261954e+00
4.871408364045275e-05	5.257690e+00
4.995694078331329e-05	5.253072e+00
5.119979792617383e-05	5.248100e+00
5.244265506903437e-05	5.242774e+00
5.312836935475054e-05	5.239854e+00
5.381408364046669e-05	5.236944e+00
5.449979792618286e-05	5.234046e+00
5.518551221189902e-05	5.231158e+00
5.587122649761518e-05	5.228281e+00
5.655694078333134e-05	5.225415e+00
5.724265506904750e-05	5.222560e+00
5.765694078333434e-05	5.220871e+00
5.807122649762120e-05	5.219207e+00
5.848551221190804e-05	5.217569e+00
5.889979792619489e-05	5.215956e+00
5.931408364048174e-05	5.214369e+00
5.972836935476859e-05	5.212808e+00
6.014265506905543e-05	5.211272e+00
6.044265506905625e-05	5.210183e+00
6.054265506905653e-05	5.209824e+00
