time	V(n053)
0.000000000000000e+00	5.595533e+00
2.000000000335067e-08	5.593349e+00
6.000000001005201e-08	5.588978e+00
1.400000000095769e-07	5.580225e+00
2.000000000057511e-07	5.573655e+00
2.000001000090901e-07	5.573655e+00
2.000003000157680e-07	5.573655e+00
2.000004944019418e-07	5.573655e+00
2.000006852354019e-07	5.573655e+00
2.000008840902234e-07	5.573655e+00
2.000010000113850e-07	5.573655e+00
2.000010341368652e-07	5.573655e+00
2.000011024017034e-07	5.573655e+00
2.000012389175021e-07	5.573655e+00
2.000015119629772e-07	5.573655e+00
2.000020580539275e-07	5.573655e+00
2.000027254367431e-07	5.573655e+00
2.000035748128681e-07	5.573655e+00
2.000046100958386e-07	5.573655e+00
2.000061264106900e-07	5.573655e+00
2.000079996761217e-07	5.573654e+00
2.000105657345985e-07	5.573654e+00
2.000140055247179e-07	5.573654e+00
2.000175244043501e-07	5.573654e+00
2.000215170577802e-07	5.573654e+00
2.000254156198089e-07	5.573653e+00
2.000289266723687e-07	5.573653e+00
2.000327603834950e-07	5.573653e+00
2.000363279464068e-07	5.573653e+00
2.000411012670344e-07	5.573652e+00
2.000461998552527e-07	5.573652e+00
2.000530700124736e-07	5.573652e+00
2.000606736662913e-07	5.573651e+00
2.000708686084041e-07	5.573651e+00
2.000834941201513e-07	5.573650e+00
2.001023218234366e-07	5.573649e+00
2.001282192604092e-07	5.573647e+00
2.001671915857761e-07	5.573645e+00
2.002155309183129e-07	5.573642e+00
2.002814151330634e-07	5.573638e+00
2.003702123248852e-07	5.573633e+00
2.005198111859618e-07	5.573624e+00
2.007894692179768e-07	5.573608e+00
2.011154392328462e-07	5.573588e+00
2.014604669892117e-07	5.573568e+00
2.019025269334174e-07	5.573541e+00
2.025426971974387e-07	5.573503e+00
2.036345921607730e-07	5.573438e+00
2.056873359967959e-07	5.573316e+00
2.091329150133436e-07	5.573110e+00
2.138233769488629e-07	5.572830e+00
2.195629999340865e-07	5.572487e+00
2.284074682723514e-07	5.571959e+00
2.385297005191855e-07	5.571354e+00
2.507150654168511e-07	5.570626e+00
2.664769667565237e-07	5.569683e+00
2.852421939064653e-07	5.568560e+00
3.079322912213911e-07	5.567200e+00
3.448316036325227e-07	5.564986e+00
3.855959874038417e-07	5.562536e+00
4.459611402524155e-07	5.558897e+00
5.610558339586014e-07	5.551930e+00
7.302145531434823e-07	5.541623e+00
9.963512281052633e-07	5.525263e+00
1.304431420212637e-06	5.506101e+00
1.726446464636600e-06	5.479489e+00
2.166658209332151e-06	5.451377e+00
2.367409011633237e-06	5.438417e+00
2.531271019401427e-06	5.427759e+00
2.596827035322713e-06	5.423478e+00
2.660738243981386e-06	5.419291e+00
2.754299709972763e-06	5.413146e+00
2.828428376525083e-06	5.408268e+00
2.832642509512096e-06	5.407990e+00
2.841070775499999e-06	5.407434e+00
2.857927307461927e-06	5.406322e+00
2.886690672984638e-06	5.404423e+00
2.927533875290989e-06	5.401723e+00
2.966331168016700e-06	5.399156e+00
3.014728220507301e-06	5.395948e+00
3.081473960248049e-06	5.391516e+00
3.163449807552787e-06	5.386061e+00
3.252083340579692e-06	5.380149e+00
3.325099737258586e-06	5.375268e+00
3.369529461852427e-06	5.372293e+00
3.396746593054001e-06	5.370469e+00
3.419275314414660e-06	5.368957e+00
3.444953836709286e-06	5.367232e+00
3.478797349437679e-06	5.364957e+00
3.509643448140753e-06	5.362882e+00
3.531532617215283e-06	5.361409e+00
3.554534618741001e-06	5.359859e+00
3.566259659984472e-06	5.359068e+00
3.577748679872705e-06	5.358294e+00
3.595558112273745e-06	5.357092e+00
3.622655193338820e-06	5.355263e+00
3.655978496761025e-06	5.353012e+00
3.675222738169781e-06	5.351710e+00
3.694276240626126e-06	5.350422e+00
3.702973189065317e-06	5.349833e+00
3.715143218660510e-06	5.349009e+00
3.723640065109168e-06	5.348434e+00
3.733508656719731e-06	5.347765e+00
3.743675781223144e-06	5.347076e+00
3.754711923306675e-06	5.346329e+00
3.768018639174753e-06	5.345427e+00
3.784058155362202e-06	5.344338e+00
3.807797608210151e-06	5.342727e+00
3.832960541377828e-06	5.341018e+00
3.873647214130971e-06	5.338252e+00
3.915529704690002e-06	5.335401e+00
3.999294685794186e-06	5.329686e+00
4.166824648002554e-06	5.318219e+00
4.347570254747968e-06	5.305788e+00
4.624495455476940e-06	5.286618e+00
5.004078629897157e-06	5.260137e+00
5.405629555269020e-06	5.231861e+00
5.905629555269520e-06	5.196299e+00
6.405629555270020e-06	5.160384e+00
6.905629555270520e-06	5.124165e+00
7.180770931120017e-06	5.104109e+00
7.365983426904643e-06	5.090554e+00
7.452978287830758e-06	5.084173e+00
7.538620952790565e-06	5.077882e+00
7.623827581057507e-06	5.071618e+00
7.687114815066454e-06	5.066961e+00
7.738114186195411e-06	5.063206e+00
7.787167863662625e-06	5.059592e+00
7.847501860752670e-06	5.055145e+00
7.910669674413007e-06	5.050485e+00
7.982931180053332e-06	5.045152e+00
8.082983116386444e-06	5.037761e+00
8.180843324837039e-06	5.030528e+00
8.238750426714514e-06	5.026244e+00
8.284046250056631e-06	5.022892e+00
8.323803460982826e-06	5.019949e+00
8.349226066226012e-06	5.018066e+00
8.375004938540598e-06	5.016157e+00
8.387770571841036e-06	5.015211e+00
8.401328899190763e-06	5.014206e+00
8.421027013372218e-06	5.012746e+00
8.458347117892839e-06	5.009978e+00
8.485865985230490e-06	5.007937e+00
8.503292247788452e-06	5.006644e+00
8.515051135887797e-06	5.005772e+00
8.524959009659216e-06	5.005036e+00
8.535414873084290e-06	5.004260e+00
8.545266515835870e-06	5.003528e+00
8.554975107488705e-06	5.002807e+00
8.566192699413500e-06	5.001974e+00
