time	V(t)
0.000000000000000e+00	5.010018e+00
1.000000000000133e-06	5.010018e+00
1.000000100000002e-06	5.010018e+00
1.000000299999741e-06	5.010018e+00
1.000000700000087e-06	5.010018e+00
1.000001000000562e-06	5.010018e+00
1.000001061656972e-06	5.010018e+00
1.000001184969790e-06	5.010018e+00
1.000001431594559e-06	5.010018e+00
1.000001843221889e-06	5.010018e+00
1.000002276499434e-06	5.010018e+00
1.000003143054526e-06	5.010018e+00
1.000004028443510e-06	5.010018e+00
1.000005459617266e-06	5.010018e+00
1.000007022289133e-06	5.010018e+00
1.000009762245832e-06	5.010018e+00
1.000012721520151e-06	5.010018e+00
1.000016926196688e-06	5.010018e+00
1.000021376229912e-06	5.010018e+00
1.000028661684270e-06	5.010018e+00
1.000034609146411e-06	5.010018e+00
1.000041865492976e-06	5.010018e+00
1.000049907095950e-06	5.010018e+00
1.000060333738138e-06	5.010018e+00
1.000073456343571e-06	5.010018e+00
1.000093510352372e-06	5.010018e+00
1.000126710716705e-06	5.010018e+00
1.000193111446238e-06	5.010018e+00
1.000299976746701e-06	5.010018e+00
1.000434483835327e-06	5.010018e+00
1.000634114360112e-06	5.010018e+00
1.000985911415141e-06	5.010018e+00
1.001689505525198e-06	5.010019e+00
1.003096693745313e-06	5.010019e+00
1.005911070185543e-06	5.010023e+00
1.011539823065136e-06	5.010038e+00
1.019753924616854e-06	5.010087e+00
1.030968858155117e-06	5.010202e+00
1.047734812045092e-06	5.010464e+00
1.070877754379314e-06	5.010940e+00
1.098711659762962e-06	5.011626e+00
1.127485816918884e-06	5.012430e+00
1.168109214973179e-06	5.013696e+00
1.241652521039721e-06	5.016228e+00
1.341652521039995e-06	5.019974e+00
1.441652521040268e-06	5.023959e+00
1.541652521040542e-06	5.028099e+00
1.641652521040815e-06	5.032318e+00
1.741652521041089e-06	5.036570e+00
1.841652521041362e-06	5.040822e+00
1.941652521041635e-06	5.045052e+00
2.041652521041909e-06	5.049243e+00
2.141652521042182e-06	5.053384e+00
2.341652521042729e-06	5.061484e+00
2.541652521043276e-06	5.069305e+00
2.741652521043823e-06	5.076823e+00
3.041652521044644e-06	5.087503e+00
3.341652521045464e-06	5.097449e+00
3.541652521046011e-06	5.103656e+00
3.741652521046558e-06	5.109553e+00
3.941652521047105e-06	5.115139e+00
4.141652521047652e-06	5.120416e+00
4.341652521048199e-06	5.125383e+00
4.541652521048746e-06	5.130040e+00
4.741652521049293e-06	5.134387e+00
5.084509663907373e-06	5.141056e+00
5.427366806765454e-06	5.147148e+00
5.770223949623535e-06	5.152663e+00
6.113081092481616e-06	5.157602e+00
6.455938235339696e-06	5.161965e+00
6.798795378197776e-06	5.165750e+00
7.141652521055857e-06	5.168960e+00
7.441652521056677e-06	5.171631e+00
7.741652521057497e-06	5.174067e+00
7.984509663915304e-06	5.175864e+00
8.227366806773111e-06	5.177565e+00
8.470223949630919e-06	5.179171e+00
8.713081092488726e-06	5.180682e+00
8.955938235346533e-06	5.182098e+00
9.198795378204340e-06	5.183419e+00
9.441652521062147e-06	5.184645e+00
9.755938235348721e-06	5.186139e+00
1.007022394963530e-05	5.187550e+00
1.038450966392187e-05	5.188878e+00
1.069879537820844e-05	5.190123e+00
1.101308109249502e-05	5.191285e+00
1.132736680678159e-05	5.192363e+00
1.164165252106816e-05	5.193359e+00
1.205593823535501e-05	5.194581e+00
1.247022394964186e-05	5.195724e+00
1.288450966392870e-05	5.196788e+00
1.329879537821555e-05	5.197772e+00
1.371308109250240e-05	5.198677e+00
1.412736680678925e-05	5.199502e+00
1.454165252107609e-05	5.200247e+00
1.499879537822020e-05	5.201008e+00
1.545593823536431e-05	5.201717e+00
1.591308109250842e-05	5.202373e+00
1.637022394965252e-05	5.202976e+00
1.682736680679663e-05	5.203527e+00
1.728450966394074e-05	5.204025e+00
1.774165252108485e-05	5.204471e+00
1.821308109251471e-05	5.204895e+00
1.868450966394457e-05	5.205289e+00
1.915593823537443e-05	5.205653e+00
1.962736680680429e-05	5.205988e+00
2.009879537823415e-05	5.206293e+00
2.057022394966401e-05	5.206568e+00
2.104165252109387e-05	5.206813e+00
2.151308109252373e-05	5.207039e+00
2.198450966395359e-05	5.207249e+00
2.245593823538345e-05	5.207443e+00
2.292736680681331e-05	5.207621e+00
2.339879537824318e-05	5.207784e+00
2.387022394967304e-05	5.207931e+00
2.434165252110290e-05	5.208061e+00
2.481308109253276e-05	5.208182e+00
2.528450966396262e-05	5.208294e+00
2.575593823539248e-05	5.208397e+00
2.622736680682234e-05	5.208493e+00
2.669879537825220e-05	5.208579e+00
2.717022394968206e-05	5.208657e+00
2.764165252111192e-05	5.208727e+00
2.811308109254178e-05	5.208791e+00
2.858450966397164e-05	5.208851e+00
2.905593823540150e-05	5.208906e+00
2.952736680683136e-05	5.208957e+00
2.999879537826123e-05	5.209003e+00
3.047022394969109e-05	5.209045e+00
3.094165252112095e-05	5.209082e+00
3.141308109255080e-05	5.209116e+00
3.188450966398066e-05	5.209148e+00
3.235593823541053e-05	5.209178e+00
3.282736680684039e-05	5.209205e+00
3.329879537827025e-05	5.209230e+00
3.377022394970011e-05	5.209252e+00
3.424165252112997e-05	5.209272e+00
3.471308109255983e-05	5.209290e+00
3.518450966398969e-05	5.209307e+00
3.565593823541956e-05	5.209323e+00
3.612736680684942e-05	5.209337e+00
3.659879537827928e-05	5.209350e+00
3.707022394970914e-05	5.209362e+00
3.754165252113899e-05	5.209373e+00
3.801308109256885e-05	5.209383e+00
3.848450966399871e-05	5.209392e+00
3.895593823542858e-05	5.209400e+00
3.942736680685844e-05	5.209408e+00
3.989879537828830e-05	5.209415e+00
4.037022394971816e-05	5.209421e+00
4.084165252114802e-05	5.209427e+00
4.132736680686364e-05	5.209432e+00
