time	V(n023)
0.000000000000000e+00	5.010018e+00
9.999999994736442e-10	5.010018e+00
2.999999998420932e-09	5.010018e+00
1.000000000861423e-08	5.010018e+00
1.000010001195317e-08	5.010018e+00
1.000030001863106e-08	5.010018e+00
1.000049507093870e-08	5.010018e+00
1.000071112033929e-08	5.010018e+00
1.000100001424808e-08	5.010018e+00
1.000103463932867e-08	5.010018e+00
1.000110390336761e-08	5.010018e+00
1.000124241756772e-08	5.010018e+00
1.000151944596794e-08	5.010018e+00
1.000207350276838e-08	5.010018e+00
1.000278238016961e-08	5.010018e+00
1.000365887349197e-08	5.010018e+00
1.000473742740482e-08	5.010018e+00
1.000625754477014e-08	5.010018e+00
1.000819065122283e-08	5.010018e+00
1.001082031160117e-08	5.010018e+00
1.001433713732069e-08	5.010018e+00
1.001782722054312e-08	5.010018e+00
1.002189385646002e-08	5.010019e+00
1.002579669284742e-08	5.010019e+00
1.002929937710118e-08	5.010019e+00
1.003309837988020e-08	5.010019e+00
1.003675813293636e-08	5.010019e+00
1.004157303141628e-08	5.010019e+00
1.004680744154385e-08	5.010019e+00
1.005377225915538e-08	5.010019e+00
1.006194991215459e-08	5.010019e+00
1.007394558050212e-08	5.010019e+00
1.009134169283055e-08	5.010019e+00
1.012613390360961e-08	5.010020e+00
1.017585485318939e-08	5.010020e+00
1.023900331187377e-08	5.010021e+00
1.035759279732762e-08	5.010022e+00
1.053070305956361e-08	5.010022e+00
1.082939975194375e-08	5.010023e+00
1.115348396973914e-08	5.010024e+00
1.150688497264518e-08	5.010024e+00
1.195043979052013e-08	5.010025e+00
1.265770255276522e-08	5.010025e+00
1.376911211437015e-08	5.010026e+00
1.599193123758003e-08	5.010027e+00
1.950346585621876e-08	5.010028e+00
2.412507119076146e-08	5.010030e+00
3.020095334926864e-08	5.010032e+00
3.914595556042677e-08	5.010036e+00
5.563136967756677e-08	5.010041e+00
7.415604738603143e-08	5.010047e+00
1.112054028168385e-07	5.010058e+00
1.853041136784528e-07	5.010078e+00
2.853041136813284e-07	5.010103e+00
3.853041136842039e-07	5.010124e+00
4.853041136870795e-07	5.010143e+00
5.853041136899551e-07	5.010159e+00
6.853041136928306e-07	5.010172e+00
7.853041136957062e-07	5.010185e+00
8.853041136985818e-07	5.010196e+00
9.853041137014573e-07	5.010207e+00
1.085304113704333e-06	5.010216e+00
1.185304113707208e-06	5.010225e+00
1.285304113710084e-06	5.010233e+00
1.385304113712960e-06	5.010242e+00
1.485304113715835e-06	5.010250e+00
1.585304113718711e-06	5.010257e+00
1.685304113721586e-06	5.010265e+00
1.785304113724462e-06	5.010272e+00
1.885304113727337e-06	5.010280e+00
1.985304113730213e-06	5.010287e+00
2.085304113733089e-06	5.010294e+00
2.185304113735964e-06	5.010302e+00
2.285304113738840e-06	5.010309e+00
2.385304113741715e-06	5.010316e+00
2.485304113744591e-06	5.010324e+00
2.585304113747466e-06	5.010331e+00
2.685304113750342e-06	5.010338e+00
2.785304113753218e-06	5.010345e+00
2.885304113756093e-06	5.010353e+00
2.985304113758969e-06	5.010361e+00
3.085304113761844e-06	5.010368e+00
3.185304113764720e-06	5.010376e+00
3.285304113767595e-06	5.010384e+00
3.385304113770471e-06	5.010391e+00
3.485304113773346e-06	5.010399e+00
3.585304113776222e-06	5.010406e+00
3.685304113779098e-06	5.010415e+00
3.785304113781973e-06	5.010422e+00
3.885304113784849e-06	5.010430e+00
3.985304113787724e-06	5.010438e+00
4.085304113790600e-06	5.010446e+00
4.185304113793475e-06	5.010454e+00
4.285304113796351e-06	5.010462e+00
4.385304113799227e-06	5.010470e+00
4.485304113802102e-06	5.010479e+00
4.585304113804978e-06	5.010487e+00
4.685304113807853e-06	5.010495e+00
4.785304113810729e-06	5.010503e+00
4.885304113813604e-06	5.010512e+00
4.985304113816480e-06	5.010520e+00
5.085304113819356e-06	5.010529e+00
5.185304113822231e-06	5.010537e+00
5.285304113825107e-06	5.010546e+00
5.385304113827982e-06	5.010554e+00
5.485304113830858e-06	5.010562e+00
5.585304113833733e-06	5.010571e+00
5.685304113836609e-06	5.010580e+00
5.785304113839485e-06	5.010588e+00
5.885304113842360e-06	5.010597e+00
5.985304113845236e-06	5.010606e+00
6.085304113848111e-06	5.010614e+00
6.185304113850987e-06	5.010623e+00
